ids, location, text
317441163,"Alabama, USA","rt @statespoll: uni cruz  states senate election in texas, 2018
 cruz (rep) vs  beto  (dem). cbs news/yougov 10/2-10/5
my analysis post: https"
579188949,,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
5556352,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
9.75E+17,"Phoenix, AZ","rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
2725413623,dtx||atx,rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
466519586,,"texas politics project dissects polls, explains why  cruz   cruz  will win | the daily caller https://t.co/p8g0fwx5xx"
245552176,Hong Kong,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3908662753,United States,@texaslivein @ray_nolen @proudrepublica4 @mariatweets3 @jgalt09 you really cant be that naive or ignorant. check o https://t.co/cu5zazuvde
3238891936,near Chicago,rt @waydede: @stephan40279183 @trumpsters45 @mal1976retaf @adorable_todd @dianne1h @giboneydavid @vanderfk @mimiyvo @genevievelee19 @sbiv56
4533934940,,rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
15102163,On the Flipside,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
7.63E+17,"Los Angeles, CA","rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
8.39E+17,"El Paso, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3166107756,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
1.04E+18,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
323597894,the land of milk and honeydips,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1899054092,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
37477872,"California, USA","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
416119322,RGV | LBK,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
8.07E+17,"San Benito, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2439096672,"Texas, USA","rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
2352593048,dallas,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
15991094,"Austin, Texas",rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez
7.37E+17,"Texas, USA",rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez
1.01E+18,"Texas, USA",rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
977419657,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
2270630270,"Texas, USA.","rt @tlrpac: tlrpac endorses angela paxton for the texas state senate, district 8! @angelapaxtontx https://t.co/u3sbrrbxcj #txlege https://t"
8.64E+17,"Southern, CA","rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
1.01E+18,"Texas, USA","rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
16553226,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
3145484464,Under a rock with wifi ,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1100116086,Hong Kong,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
1.00E+18,,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
23098409,New England,"rt @aroseblush: texas ~     vote for ' beto '   beto  for us senate 

      immigration system texans can trust
      improving the aff"
3259287158,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.85E+17,,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
1514883614,"31.7717 N, 35.2286 E","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.85E+17,,rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
45669053,"Des Moines, IA",rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
572806136,"Nice, France","rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
564924125,"Toronto, Ontario",rt @charlesianbrown: peak charlie brown is snapchatting a girl from my hs who i havent talked to since december 2016 and asking if she's re
100643234,Living in hell with my Pug,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
8.06E+17,"California, USA","rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
8.23E+17,"Tampa, FL","@michaelavenatti @corybooker he can't because he has rules to abide by in the senate, remember when they kicked a f https://t.co/yrmrhdtx0i"
9.49E+17,Earth,"rt @fire_ cruz _ cruz :  cruz , did you ever think you might be responsible for your own unpopularity? asking for a friend. #txsen #fire  cruz   #te"
19492233,"San Jose, CA",democrat texas rep.  beto    beto  s senate campaign was flagged by the federal election commission (fec) on sunday https://t.co/ppafmezarp
856817749,"Anytown, USA.",rt @chrisobrienma: making calls and signing up volunteers. the thought of a #democrat from #texas in the #senate is my #mondaymotivation. c
9.47E+17,United States,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
48191842,Texas,rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez
860017376,"Seattle, WA","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
280459733,Irish in London,rt @chrisobrienma: making calls and signing up volunteers. the thought of a #democrat from #texas in the #senate is my #mondaymotivation. c
3378940274, USA,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
82537931,"Los Angeles, CA","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
18914244,,rt @shandat612: from austin to houston. texas is turning up for positive change and that starts with electing @ beto   beto   to senate. real
7.18E+17,,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
24658978,Texas,"rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
751828440,,national nurses uni cruz  endorses  beto    beto   in texas u.s. senate race - https://t.co/dsj6hinnku via @commondreams
7.19E+17,New Jersey ,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.02E+17,"Tennessee, USA","rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.40E+17,,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
809484055,USA,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
2569439603,,rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
9.02E+17,,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
26781179,"Waco, Texas",rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez
341025358,Houston/NOLA ,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
129264927,"Kailua, HI","rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
9.74E+17,earth,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
4913939786,,"rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
21253935,Texasssssssss,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
272112035,YEG... and left of centre,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
2161778298,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3234415380,,"rt @colliderfrosty: dear texas,
tomorrow is the last day to register to vote. if enough young voters turn out  cruz  won't be returning to th"
7.80E+17,Middle Earth,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
31237315,"Los Angeles, CA",national nurses uni cruz  endorses  beto    beto   in texas u.s. senaterace https://t.co/60ecpwmqvp https://t.co/bsoo3ayazm
1864637521,"Oil Country, Alberta ","rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
34624211,,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
95597780,"WI, USA ","rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
18325705,"Las Vegas, NV","rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
466303565,,"@charlottechar22 @potpourri72 @govmikehuckabee @taylorswift13 yep, what ive been saying &amp; only thing keeping me fr https://t.co/zeaulpfwfj"
2156053704,,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.13E+17,"Texas, USA",rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
54573251,"Houston, TX",rt @steponeafrica: so i can vote for  beto  in the mid-terms in texas for his bid to upset  cruz ..walking door to door for lizzy fletcher to r
8.06E+17,sf,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.64E+17,"Colorado, USA","rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
1255700551,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
24658978,Texas,rt @josepheach: watch: @  cruz   talks to nbc's lester holt about his tight senate race in texas - (and more!) https://t.co/jiqmgawcjh
3684126388,"Perth, Western Australia",rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
478004224,,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
7.03E+17,"New York, USA","rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
2312036022,,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
2284527962,,"rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
2720130608,,"midterm election poll: texas senate,  cruz  vs.   beto   - the new york times.              # cruz tovictory  https://t.co/k9hdo9jlcq"
3431606412,strawberry fields ,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4729714512,"Texas, USA","rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
140530083,"Dallas, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4738332976,New York," cruz   cruz  slightly leading  beto   beto  in texas senate race, polls show - mic https://t.co/dk1enfoqob"
9.43E+17,United States,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
8.32E+17,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4547869279,,"rt @statespoll: uni cruz  states senate election in texas, 2018
 cruz (rep) vs  beto  (dem). cbs news/yougov 10/2-10/5
my analysis post: https"
4547869279,,"rt @statespoll: uni cruz  states senate election in texas, 2018
 cruz (rep) vs  beto  (dem)
emerson 10/1-10/5. 500 lv
my analysis post: https:"
568521829,USA,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.23E+17,TX,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
60841112,'Murica,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
7.10E+17,IN A GALAXY FAR FAR AWAY,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
4928688581,," cruz   cruz  slightly leading  beto   beto  in texas senate race, polls show - mic https://t.co/raz640vtlt"
3329457014,"San Diego, CA","rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
20071488,United States,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.98E+17,"Santa Barbara, CA","rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
384728194,The Road,"rt @colliderfrosty: dear texas,
tomorrow is the last day to register to vote. if enough young voters turn out  cruz  won't be returning to th"
1574474725,,"rt @colliderfrosty: dear texas,
tomorrow is the last day to register to vote. if enough young voters turn out  cruz  won't be returning to th"
218634270,United States,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
32914187,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
149252821,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3193140656,at travis scott concert,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2504113079,nashville ,"texas, yall really gonna give the zodiac killer one of your senate spots again? do better. https://t.co/402h66imcl"
608766372,,"rt @tlrpac: tlrpac endorses angela paxton for the texas state senate, district 8! @angelapaxtontx https://t.co/u3sbrrbxcj #txlege https://t"
9.41E+17,,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.35E+17,,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
7.29E+17,Lake Tahoe CA/NV,"rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
91140002,USA,"i wonder why my local 'news' station hasn't told everyone who i'm backing for the texas senate race?! ... ""overwork https://t.co/thacodievo"
