 screen_name, location, text
NBCPolitics,,"RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
ralphyf1,Ft. Worth Texas,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
katherinefugate,los angeles,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
martyvidnovic,nyc,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
meatballmagee,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Shuey34,"Omaha, NE","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
CarolynMcClarn1,United States,"RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
makeachangetx,"Texas, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ga_undrdawg,"DAWGNation,GA","RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
maga_Texas,"Texas, USA","RT @LisaMei62: 4. And yet another ""future proves past"". Q told us on 28 Sep Dems would promise to impeach Justice K, if confirmed, to motiv"
Zanlaughsatyou,,"RT @Alyssa_Milano: 5. TEXAS SENATE ELECTION
Vote For @BetoORourke 
DONATE: https://t.co/WcP2YmTWr4

#KavanaughKarma"
jeremy_nikki,"Philadelphia, PA",RT @Mihero: @Cynrancour @Stmolly4 @rosecorrie607 @matthewjdowd Cruz is up by 6 points over Beto.  Hard to believe that Cruz who does nothin
wcg5xn,,Voters in key Senate races say Kavanaugh battle is a motivator for the 2018 midterms: Texas Republicans say the bat https://t.co/aUHRQBbtm2
MoodyLoner,"California, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ThomasNBC5,Dallas-Fort Worth,"RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
theemikefinazzo,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
TBlackwe85,"Washington, DC/Baltimore, MD","RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
Chisuto,"Ontario, CA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
JenLem87,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
rcevat69,"Zeewolde, Nederland","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
NBCNews,"New York, NY","RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
RussellASmith5,"Lincoln, CA",RT @mariko2012: #resisters ACTION!! Cruz is up in polls. We need turn Texas blue.  Join me in making calls to voters. Sign up to phone bank
saltycomment,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
_kfoster_,anxiety island,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
WynGalbraith,"FoyleGully SL, El Sob I cry ","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Ikeriiaaa,"Texas, USA",RT @cbs11jack: NEW POLL #Texas Senate race:  CBS News/You Gov survey shows @tedcruz leads @BetoORourke 50-44%.  @CBSDFW https://t.co/mYiqXw
lennysundahl,"Charleston, WV","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
lovetotravel960,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
reginaw50361,"Florida, USA","RT @Alyssa_Milano: 5. TEXAS SENATE ELECTION
Vote For @BetoORourke 
DONATE: https://t.co/WcP2YmTWr4

#KavanaughKarma"
degenerate__dad,Augusta | Boston | Los Angeles,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Roxiepurgatory,"Phoenix, AZ","RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
AliceBobby,Irving Texas,"RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
MissRuth1979,,"RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
joshclemishire,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Lisa22545183,"Georgia, USA",RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
whenUvoteUwin,"The Resistance, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Naomi_NotreDame,"San Francisco, CA","RT @RealMAGASteve: FOREIGN MEDDLING: Beto ORourke busted taking contributions from out of country

Foreign nationals are meddling in U.S."
American_Issue,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
MaryCarper12,"Virginia Beach, VA","RT @Alyssa_Milano: 5. TEXAS SENATE ELECTION
Vote For @BetoORourke 
DONATE: https://t.co/WcP2YmTWr4

#KavanaughKarma"
PeiSzeCheng4NY,"T: 40.747787,-73.973573","RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
paigebiebas,the mountain,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
DianeGore13,in my head,"RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
ItHasBegun2016,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Ialibertybelle,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
Joni_Looking,"Port Hope, MI & Kissimmee, FL","RT @Alyssa_Milano: 5. TEXAS SENATE ELECTION
Vote For @BetoORourke 
DONATE: https://t.co/WcP2YmTWr4

#KavanaughKarma"
Nate_the_Aight,"Fort Myers, FL","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ericgreen79,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
NBCNightlyNews,New York,"""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC https://t.co/Mf7ZcI3LAF"
brontyman,Southern California,Voters in key Senate races say Kavanaugh battle is a motivator for the 2018 midterms https://t.co/zp8YuSFx6D via @voxdotcom
rick_wilson1948,"Bakersfield, Calif.","RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem)
Emerson 10/1-10/5. 500 LV
My Analysis Post: https:"
prichvisalia,"California, USA","RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
Kele_Sports,"Zaofu, Earth Kingdom","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
BlueSea1964,,"RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
TheHayride,"Baton Rouge, LA","The Texas Senate race between Ted Cruz and Beto O'Rourke, which had been seen as a national bellwether for Democrat https://t.co/mmsWoKGYIS"
WendyBrandes,NYC,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
CKDesG,Toronto Ontario,"RT @kazweida: (12) Here is a general consensus on key state senate races. 

Tossup: Wisconsin
Lean Republican: Florida, Michigan, Pennsylva"
LurkingSkik19,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
MillerStacy48,,"RT @Politics_Polls: #TXsen
Cruz (R) 50% (+6)
O'Rourke (D) 44%

#TNsen
Blackburn (R) 50% (+8)
Bredesen (D) 42%

@YouGovUS/@CBSNews 10/2-5
ht"
TrustTheWriter,"Orlando, FL","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
mafia2222001,,@catagra44 @krassenstein Texas: U.S. Senate 2018 https://t.co/6J9gUo7ZBd
beinpulse,Seattle - Tacoma,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
athetland,Occupied Cheyenne/Arapaho/Apsaalook/Oeti akwin land,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
palabrista,"Tampa, FL","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
pjyank,Maine,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
maga_Texas,"Texas, USA",RT @SheriffClarke: Yeah OK Susan. Rice will NOT be running for Senate in 2020 and she knows it. She could not survive her LIE about what ca
aranom12,,RT @NickRiccardi: Another poll showing Rs up big in Tennessee and Texas senate races https://t.co/c0Bu14UHh4
Sunshine4744,"Oregon, USA","RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
TheNostril0499,Secret Location ,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
mafia2222001,,@krassenstein Texas: U.S. Senate 2018 https://t.co/ywhLKkOqwl
ceidson,"Boston, MA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
DiabeticCyborgg,"Longview, TX",#Voters in key #Senate #races say #Kavanaugh #battle is a #motivator for the #2018midterms https://t.co/cwAIZ3BWIj https://t.co/OqPSn0OpUw
DoThatSometimes,"Murfreesboro, TN",RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
tara_will_melt,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
elianatrue,AsfarastheEastisfromtheWest,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
goodtobeme0,,"RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem). CBS News/YouGov 10/2-10/5
My Analysis Post: https"
vicky8651,In The Woods,@Amy_Siskind 1/ I got this from Ted Crus campaign. Apparently they have not heard I no longer support the Republica https://t.co/wmA25MYrg6
majah2012, AZ,"RT @aroseblush: TEXAS ~     Vote for 'BETO'  O'Rourke For US Senate 

      Immigration System Texans Can Trust
      Improving the Aff"
SLMH17, CANADA ,RT @mariko2012: #resisters ACTION!! Cruz is up in polls. We need turn Texas blue.  Join me in making calls to voters. Sign up to phone bank
DAtwood1234567,USA ,RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
