image_id,post_caption,#_comments,#_likes,image_labels
0,"join life is about sustainability, about taking care of the planet.join us to learn more about join life at zara.com",382,105600,musical instrument musical instrument accessory product design drum percussion accessory electronic instrument tom tom drum drums
2,this is #collection. garments produced using the best sustainable processes and raw materials. do you want to join us? check editorial online and in-stores,132,54900,bag handbag leather shoe material jacket
3,"add a bit of sparkle to your night out | check total look at our party wear editorial, night out",175,56000,clothing fashion model black and white blazer outerwear sleeve shoulder formal wear jacket model
4,night out | party season is coming. velvet and sequins are the perfect choice. check our new woman editorial for some inspiration,228,65400,fashion model dress formal wear polka dot pattern design neck fashion day dress fashion design
5,shine bright with this metallic blazer clothing from our latest woman editorial | all you need for your nights out. thank you @graciehartzel,570,106000,clothing fashion model black and white shoulder sleeve outerwear model fashion joint monochrome photography
6,from funk and disco to clothinged-up casual wear | this is a step to your new routine #zaracollection new editorial,255,89900,fur clothing fur fashion model headgear fashion furcap textile coat beanie animal product
8,"this is my new routine, clothinged up casual wear | checkcollection new editorial #zaracollection",138,64000,product interaction album cover girl pattern smile
9,"roll with it | volume, energy, attitude. a special collection for special nights.",493,54800,eyewear black and white vision care sunglasses glasses monochrome photography cool gentleman monochrome health & beauty
11,"roll with it collection | an attitude that's real & undiluted, instantly recognizable and always individual. stepped up tempos and loud guitars mixed with the spirit of 70s cool #collection",247,62900,formal wear suit blazer outerwear button tuxedo jacket sleeve collar neck
12,the hoodie sweater | new knit trends forseasonseason,267,100800,fashion model coat black and white fashion shoulder overcoat outerwear joint gentleman neck
13,meet the fringedclothing | new editorial presenting knit trends #collection,317,115200,fur shoulder long hair animal product
14,time for knit trends | the ribbed look: sweater + clothing. new editorial. thank you @andreeadiddy #collection,143,69300,standing fashion model black and white shoulder joint outerwear coat pattern costume gentleman
15,comfy | girls editorial. simple and cozy. check knotclothing and ribbed leggings,136,66100,clothing tartan sleeve shoulder pattern outerwear plaid design sweater arm
16,comfy | girls editorial. simple and cozy. check bow clothing & grey cardigan,153,80200,furniture sitting shoulder product design chair shoe joint couch cushion human leg
17,comfy | girl editorial. simple and cozy garments. special collection.,396,230200,beauty shoulder hairstyle portrait neck forehead photo shoot black hair human girl
18,midtown warm-up | new woman editorial now available. thank you @myrthebolt_,520,189600,shoulder snapshot fashion outerwear socialite fur joint road street shoe
19,midtown warm-up | seasonal teddy-texture mixed with nostalgic floral print midi clothinges.,200,80900,black and white t shirt monochrome photography photography fashion sleeve design pattern monochrome product
20,"mid-town warm up | a story inspired by a modern take on retro classics based on textures of shearlingclothings, teddy texture patterned tights & kitten heels. thank yoy @cara_taylorrr #collection",195,93400,pink purple magenta fashion jeans shoe trousers
21,this is #collection | palazzoclothing 8473/802,257,53200,clothing text product standing font product design joint pattern product pattern
23,this is #collection | cashmere roll neck sweater 6873/176,158,53600,clothing outerwear font neck pattern pattern brand sleeve
27,"join life | natural farmingecologically grown cotton is farmed using natural fertilizers or pesticides. this process is water-friendly and reduces the co2 emissions, helping us to prevent the climate change.",418,190600,mammal rabits and hares rabbit child toddler ear product beige fur girl
28,"join life | organic cottonorganically or ecologically grown cotton is farmed in a way that respects the environment, biodiversity and the people who farm it.",312,151800,shoulder sitting child product toddler textile leg joint cat flooring
29,"join life | baby girl sustainable collection.under the label #collection, we categorise all garments that have been produced using the best sustainable processes and raw materials",207,117900,nose cheek child neck toddler lip product ear
30,lights galore |collection editorial. thank you @marjanjonkman,412,84300,fashion accessory joint shoe leg tights costume thigh tartan punk fashion
32,lights galore icollection editorial. thank you @marjanjonkman,157,77200,purple textile outerwear magenta long hair girl
33,a forest ride | kids editorial,365,229400,clothing outerwear shoe fur jeans trousers neck
34,a forest ride | editorial for kids,233,150100,boats and boating equipment and supplies water boat leisure oar vacation recreation boating plant community
35,a forest ride | new editorial for kids,524,210500,clothing white snapshot outerwear jeans denim trousers product shoe sleeve
36,smooth textures | woman editorial. thank you @ediebcampbell,226,100500,fashion model black and white model joint fashion monochrome photography photo shoot gentleman outerwear tights
37,smooth textures | woman editorial. thank you @ediebcampbell,234,90500,purple violet fashion model outerwear model velvet costume magenta pattern
39,"a mix of wools, shape and proportion | man editorialseason tones. thank you @iohma",133,64900,plaid tartan pattern sleeve outerwear design jacket dress shirt denim headgear
41,contemporary classics inseasonal tones | man editorial. thank you @iohma,148,68400,shoulder outerwear fashion jacket top
42,mini capsule collection,714,212400,toddler child neck
43,mini capsule collection,"1,383",353900,nose toddler child infant neck product smile
44,mini capsule collection,780,286700,shoulder neck joint
45,collection pufferclothing collection,207,70000,fashion accessory shoulder outerwear fashion photo shoot girl model electric blue neck
46,the new puffers are here!,543,120200,yellow hood fur fur clothing jacket
47,join the puffy trend! newcollection editorial,149,75700,fur clothing fur coat fashion model neck collar
51,woman studio collection | coming soon #collection @kirindejonckheere @amandagooge,191,82800,formal wear suit fashion model little black dress dress fashion shoulder gentleman outerwear tuxedo
52,woman studio collection | coming soon #collection @kirindejonckheere,468,107400,woolen neck sweater fur clothing sleeve outerwear cardigan fur wool beige
53,woman studio collection | coming soon #collection @lex.herl @amandagooge,186,90100,suit formal wear tuxedo blazer fashion model shoulder gentleman outerwear fashion coat
55,this is #collection | red checkedclothing,208,74800,outerwear cardigan coat overcoat woolen jacket fashion model neck sleeve sweater
60,trick or treat? the masks | new editorial for kids,242,89800,eyebrow forehead chin cheek lip brown hair ear girl
61,in the mood of halloween? the masks | new editorial for kids,211,133700,human hair color blond outerwear long hair hair coloring girl brown hair neck portrait portrait photography
62,booo! the masks | new kids editorial,113,63000,facial expression t shirt boy smile chin plaid forehead tartan outerwear cheek
