ids,ids,text
317441163,317441163,"alabama, usa rt @statespoll: uni cruz  states senate election in texas, 2018
 cruz (rep) vs  beto  (dem). cbs news/yougov 10/2-10/5
my analysis post: https"
579188949,579188949," rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
5556352,5556352," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
9.75E+17,9.75E+17,"phoenix, az rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
2725413623,2725413623,dtx||atx rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
466519586,466519586," texas politics project dissects polls, explains why  cruz   cruz  will win | the daily caller https://t.co/p8g0fwx5xx"
245552176,245552176,"hong kong rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3908662753,3908662753,united states @texaslivein @ray_nolen @proudrepublica4 @mariatweets3 @jgalt09 you really cant be that naive or ignorant. check o https://t.co/cu5zazuvde
3238891936,3238891936,near chicago rt @waydede: @stephan40279183 @trumpsters45 @mal1976retaf @adorable_todd @dianne1h @giboneydavid @vanderfk @mimiyvo @genevievelee19 @sbiv56
4533934940,4533934940, rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
15102163,15102163,"on the flipside rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
7.63E+17,7.63E+17,"los angeles, ca rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
8.39E+17,8.39E+17," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3166107756,3166107756," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
1.04E+18,1.04E+18," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
323597894,323597894,"the land of milk and honeydips rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1899054092,1899054092," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
