binary,text
1,musical instrument musical instrument accessory product design drum percussion accessory electronic instrument tom tom drum drums
0,bag handbag leather shoe material  winterwear 
0,clothing fashion model black and white  formal   winterwear  sleeve  body  formal wear  winterwear  model
0,fashion model dress formal wear polka dot pattern design  ?body  fashion day dress fashion design
1,clothing fashion model black and white  body  sleeve  winterwear  model fashion joint monochrome photography
1, winterwear  clothing  winterwear  fashion model headgear fashion  winterwear cap textile  winterwear  beanie animal product
0,product interaction album cover girl pattern smile
1,eyewear black and white vision care sunglasses glasses monochrome photography cool gentleman monochrome health & beauty
0,formal wear  formal   formal   winterwear  button tuxedo  winterwear  sleeve  body   ?body 
1,fashion model  winterwear  black and white fashion  body  over winterwear   winterwear  joint gentleman  ?body 
1, winterwear   body  long hair animal product
0,standing fashion model black and white  body  joint  winterwear   winterwear  pattern costume gentleman
0,clothing tartan sleeve  body  pattern  winterwear  plaid design sweater arm
0, winterwear niture sitting  body  product design chair shoe joint couch cushion human leg
1,beauty  body  hairstyle portrait  ?body  forehead photo shoot black hair human girl
1, body  snapshot fashion  winterwear  socialite  winterwear  joint road street shoe
0,black and white t shirt monochrome photography photography fashion sleeve design pattern monochrome product
1,pink purple magenta fashion  bottoms  shoe trousers
0,clothing text product standing font product design joint pattern product pattern
0,clothing  winterwear  font  ?body  pattern pattern brand sleeve
1,mammal rabits and hares rabbit child toddler ear product beige  winterwear  girl
1, body  sitting child product toddler textile leg joint cat flooring
1,nose cheek child  ?body  toddler lip product ear
1,fashion accessory joint shoe leg tights costume thigh tartan punk fashion
0,purple textile  winterwear  magenta long hair girl
1,clothing  winterwear  shoe  winterwear   bottoms  trousers  ?body 
1,boats and boating equipment and supplies water boat leisure oar vacation recreation boating plant community
1,clothing white snapshot  winterwear   bottoms  denim trousers product shoe sleeve
1,fashion model black and white model joint fashion monochrome photography photo shoot gentleman  winterwear  tights
1,purple violet fashion model  winterwear  model velvet costume magenta pattern
0,plaid tartan pattern sleeve  winterwear  design  winterwear  dress shirt denim headgear
0, body   winterwear  fashion  winterwear  top
1,toddler child  ?body 
1,nose toddler child infant  ?body  product smile
1, body   ?body  joint
0,fashion accessory  body   winterwear  fashion photo shoot girl model electric blue  ?body 
1,yellow hood  winterwear   winterwear  clothing  winterwear 
0, winterwear  clothing  winterwear   winterwear  fashion model  ?body   body 
0,formal wear  formal  fashion model little black dress dress fashion  body  gentleman  winterwear  tuxedo
1,woolen  ?body  sweater  winterwear  clothing sleeve  winterwear  cardigan  winterwear  wool beige
0, formal  formal wear tuxedo  formal  fashion model  body  gentleman  winterwear  fashion  winterwear 
0, winterwear  cardigan  winterwear  over winterwear  woolen  winterwear  fashion model  ?body  sleeve sweater
1,eyebrow forehead chin cheek lip brown hair ear girl
