binary,text
1,"join life is about sustainability, about taking care of the planet.join us to learn more about join life at zara.com musical instrument musical instrument accessory product design drum percussion accessory electronic instrument tom tom drum drums"
0,this is #collection. garments produced using the best sustainable processes and raw materials. do you want to join us? check editorial online and in-stores bag handbag leather shoe material  winterwear 
0,"add a bit of sparkle to your night out | check total look at our party wear editorial, night out clothing fashion model black and white  formal   winterwear  sleeve  body  formal wear  winterwear  model"
0,night out | party season is coming. velvet and sequins are the perfect choice. check our new woman editorial for some inspiration fashion model dress formal wear polka dot pattern design  ?body  fashion day dress fashion design
1,shine bright with this metallic blazer clothing from our latest woman editorial | all you need for your nights out. thank you @graciehartzel clothing fashion model black and white  body  sleeve  winterwear  model fashion joint monochrome photography
1,from funk and disco to clothinged-up casual wear | this is a step to your new routine # collections  new editorial  winterwear  clothing  winterwear  fashion model headgear fashion  winterwear cap textile  winterwear  beanie animal product
0,"this is my new routine, clothinged up casual wear | checkcollection new editorial # collections  product interaction album cover girl pattern smile"
1,"roll with it | volume, energy, attitude. a special collection for special nights. eyewear black and white vision care sunglasses glasses monochrome photography cool gentleman monochrome health & beauty"
0,"roll with it collection | an attitude that's real & undiluted, instantly recognizable and always individual. stepped up tempos and loud guitars mixed with the spirit of 70s cool #collection formal wear  formal   formal   winterwear  button tuxedo  winterwear  sleeve  body   ?body "
1,the hoodie sweater | new knit trends forseasonseason fashion model  winterwear  black and white fashion  body  over winterwear   winterwear  joint gentleman  ?body 
1,meet the fringedclothing | new editorial presenting knit trends #collection  winterwear   body  long hair animal product
0,time for knit trends | the ribbed look: sweater + clothing. new editorial. thank you @andreeadiddy #collection standing fashion model black and white  body  joint  winterwear   winterwear  pattern costume gentleman
0,comfy |  ﻿woman  editorial. simple and cozy. check knotclothing and ribbed leggings clothing tartan sleeve  body  pattern  winterwear  plaid design sweater arm
0,comfy |  ﻿woman  editorial. simple and cozy. check bow clothing & grey cardigan  winterwear niture sitting  body  product design chair shoe joint couch cushion human leg
1,comfy | girl editorial. simple and cozy garments. special collection. beauty  body  hairstyle portrait  ?body  forehead photo shoot black hair human girl
1,midtown warm-up | new woman editorial now available. thank you @myrthebolt_  body  snapshot fashion  winterwear  socialite  winterwear  joint road street shoe
0,midtown warm-up | seasonal teddy-texture mixed with nostalgic floral print midi clothinges. black and white t shirt monochrome photography photography fashion sleeve design pattern monochrome product
1,"mid-town warm up | a story inspired by a modern take on retro classics based on textures of shearlingclothings, teddy texture patterned tights & kitten heels. thank yoy @cara_taylorrr #collection pink purple magenta fashion  bottoms  shoe trousers"
0,this is #collection | palazzoclothing 8473/802 clothing text product standing font product design joint pattern product pattern
0,this is #collection | cashmere roll neck sweater 6873/176 clothing  winterwear  font  ?body  pattern pattern brand sleeve
1,"join life | natural farmingecologically grown cotton is farmed using natural fertilizers or pesticides. this process is water-friendly and reduces the co2 emissions, helping us to prevent the climate change. mammal rabits and hares rabbit child toddler ear product beige  winterwear  girl"
1,"join life | organic cottonorganically or ecologically grown cotton is farmed in a way that respects the environment, biodiversity and the people who farm it.  body  sitting child product toddler textile leg joint cat flooring"
1,"join life |  kids  girl sustainable collection.under the label #collection, we categorise all garments that have been produced using the best sustainable processes and raw materials nose cheek child  ?body  toddler lip product ear"
1,lights galore |collection editorial. thank you @marjanjonkman fashion accessory joint shoe leg tights costume thigh tartan punk fashion
0,lights galore icollection editorial. thank you @marjanjonkman purple textile  winterwear  magenta long hair girl
1,a forest ride | kids editorial clothing  winterwear  shoe  winterwear   bottoms  trousers  ?body 
1,a forest ride | editorial for kids boats and boating equipment and supplies water boat leisure oar vacation recreation boating plant community
1,a forest ride | new editorial for kids clothing white snapshot  winterwear   bottoms  denim trousers product shoe sleeve
1,smooth textures | woman editorial. thank you @ediebcampbell fashion model black and white model joint fashion monochrome photography photo shoot gentleman  winterwear  tights
1,smooth textures | woman editorial. thank you @ediebcampbell purple violet fashion model  winterwear  model velvet costume magenta pattern
0,"a mix of wools, shape and proportion | man editorialseason tones. thank you @iohma plaid tartan pattern sleeve  winterwear  design  winterwear  dress shirt denim headgear"
0,contemporary classics inseasonal tones | man editorial. thank you @iohma  body   winterwear  fashion  winterwear  top
1,mini capsule collection toddler child  ?body 
1,mini capsule collection nose toddler child infant  ?body  product smile
1,mini capsule collection  body   ?body  joint
0,collection pufferclothing collection fashion accessory  body   winterwear  fashion photo shoot girl model electric blue  ?body 
1,the new puffers are here! yellow hood  winterwear   winterwear  clothing  winterwear 
0,join the puffy trend! newcollection editorial  winterwear  clothing  winterwear   winterwear  fashion model  ?body   body 
0,woman studio collection | coming soon #collection @kirindejonckheere @amandagooge formal wear  formal  fashion model little black dress dress fashion  body  gentleman  winterwear  tuxedo
1,woman studio collection | coming soon #collection @kirindejonckheere woolen  ?body  sweater  winterwear  clothing sleeve  winterwear  cardigan  winterwear  wool beige
0,woman studio collection | coming soon #collection @lex.herl @amandagooge  formal  formal wear tuxedo  formal  fashion model  body  gentleman  winterwear  fashion  winterwear 
0,this is #collection | red checkedclothing  winterwear  cardigan  winterwear  over winterwear  woolen  winterwear  fashion model  ?body  sleeve sweater
1,trick or treat? the masks | new editorial for kids eyebrow forehead chin cheek lip brown hair ear girl
1,in the mood of halloween? the masks | new editorial for kids human hair color blond  winterwear  long hair hair coloring girl brown hair  ?body  portrait portrait photography
0,booo! the masks | new kids editorial facial expression t shirt boy smile chin plaid forehead tartan  winterwear  cheek
0,"dear india, discover & shop the weekly new-in now at zara.com. #dearindiathank you @urvashi_umrao photographed by @thebadlydrawnboy photograph black and white monochrome photography photography photo shoot monochrome girl gentleman stock photography model"
0,"dear india, shop the latestseason collection now online.#dearindiathank you @nsfwsaket & @nitigyasingh photographed by @thebadlydrawnboy photograph black and white monochrome photography photography gentleman interaction monochrome stock photography film noir"
0,"dear india, shop online is now available. thank you @urvashi_umrao photographed by @thebadlydrawnboy black and white photography monochrome photography album cover fashion monochrome font brand model photo shoot"
1,iconic blazers | the checkedclothing 8303/610  winterwear  black and white fashion model gentleman fashion monochrome photography  winterwear  over winterwear  formal wear monochrome
0,iconic blazers | contrasting faux fur blazer 4391/221  winterwear  clothing black and white fashion model  winterwear   body  fashion  winterwear   ?body  monochrome photography stole
1,iconic blazers | pink wool blazer ref 8027/813 thank you @kdhwillems  winterwear   winterwear  fashion model  formal   winterwear  top supermodel
1,pearly beret 3920/244 headgear black and white hat cap monochrome photography knit cap  ?body  monochrome pattern beanie
0,textured neckerchief with ribbon and faux pearls 0247/249 denim sleeve  winterwear   winterwear  fashion model  ?body  pattern button model  body 
0,"good times | featuring prints, velvet and satin. special suits for special events. and party! thank you @brodiescottt footwear sitting shoe  body "
0,"clothing up and let_s groove. good times, new editorial for man. thank you @oliverkumbi  formal   winterwear  gentleman formal wear  formal "
1,this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kid while they were wearing pajamas | life is better in pyjamas  body   winterwear  joint girl product child mother daughter
1,is there anything better than a sleeping child? this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kids while they were wearing pyjamas. photograph product textile bed sleep material infant comfort child
1,life is better in pyjamas | this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kids while they were wearing pyjamas.  winterwear  toddler wool product teddy bear child
0,retro fiction | polished and sophisticated looks with standard patterns plaid  formal  tartan  formal   winterwear  gentleman  winterwear  formal wear design pattern
0,next destination: the west | an approach to the classic mood of rodeo.collection fashion accessory  body   winterwear  girl photo shoot  ?body  pattern
0,"go rodeo | thiscollection editorial is a mix of blouses and clothinges in plaids and florals, heavyclothing,clothing, wideclothing and midi clothings. photograph black and white standing monochrome photography snapshot gentleman  winterwear  vintage clothing monochrome stock photography"
0,let_s rock the western trend | go rodeo! newcollection editorial. thank you @kirindejonckheere & @ansolet_rossouw pink  body  magenta  winterwear  product fashion girl textile t shirt
0,neutrals. style notes. updated outerwear | wear your classicclothing over yourclothingclothing. thank you @davidtrulik  winterwear  over winterwear  trench  winterwear  gentleman woolen fashion model beige formal wear
0,"neutrals, style notes | combine your twill suitclothing with your suedeclothing for a cool and contemporary aesthetic. thank you @davidtrulik  winterwear   winterwear  fashion model  formal   formal  beige  body   winterwear  gentleman sleeve"
0,checkedclothings never get old | urban beats. new editorial photograph black and white monochrome photography photography snapshot monochrome pattern stock photography
1,"the quiltedclothing | high neck, long sleeves, front piped pockets, metal eyelet detail with contrasting ribbons and contrasting lining. urban beats | new editorial clothing  winterwear  pattern  winterwear  denim costume"
0,short faux leatherclothing + shiny checkedclothing + faux leather mini clothing | it's urban beats! thank you @jean_campbell black and white model fashion model monochrome photography photo shoot photography  body  top monochrome long hair
1,season vibes | new  kids  editorial clothing  body   winterwear  sleeve  bottoms  pattern joint girl trousers pattern
1,dungaree and cosy baggyclothing |season vibes.  kids  editorial wheelbarrow vehicle cart toddler play child grass product plant table
1,brothers and sisters inseason vibes. new  kids  editorial child sitting toddler  winterwear  textile girl sleeve product material pattern
0,urban and cosy |season vibes in new boy capsule collection mammal soil dog like mammal tree grass
1,cosy boy capsule collection | marble print sweatclothing collection  body   winterwear   ?body  human behavior girl portrait photography
1,walking the dog | boy capsule collection now available dog  winterwear  dog like mammal  winterwear   bottoms  sweater textile sleeve snout  ?body 
1,"this isclothing. a vary of washes, tones, shapes and styles allow it to be completely accesible whilst continually being renewed . thank you @samuel_worthen denim  winterwear   bottoms  fashion formal wear sleeve  winterwear  shoe  formal "
0,this isclothing | you_ll never have enough ofclothing | new man editorial photograph person man black and white gentleman model male monochrome photography photography chin
0,a classic wardrobe mainstay for over 50 years and still more relevant than ever.clothing is still a staple for both the stylish & relaxed clothinger. thank you @andreassandby denim sitting  bottoms  shoe trousers photo shoot model  winterwear niture
1,playing outdoors |  kids  boy capsule collection child  winterwear  girl boy product toddler smile portrait photography
1, kids  boy capsule collection. in the great nature t shirt  winterwear   ?body  sleeve product cool cap brand
1,let's go into the forest!  kids  boy capsule collection tree plant grass forest jungle girl
1,floral prints meet plain colors in new woman editorial | 70's mood clothing fashion model dress  ?body  velvet day dress sleeve magenta model pattern
0,contemporary approach to 70's floral patterns | new woman editorial now available  winterwear   body  photo shoot  ?body  model girl pattern
1,throwback  days  | it's 70's inspired! woman editorial. thank you @giedre.dukauskaite yellow  body   winterwear  textile  ?body  pattern photo shoot sleeve
0,"l.a.,1958. croppedclothing, leatherclothings and white t-clothings: a uniform. man editorial | the pieces. black and white gentleman fashion model photography fashion  winterwear  model monochrome photography  winterwear  monochrome"
1,"rome, 1962. sharp tailoring, modern silhouettes with a keen focus on detail and prints. new man editorial | the pieces black and white model photography fashion model monochrome photography  body  fashion  winterwear  photo shoot gentleman"
0,the best match onclothing is moreclothing |collection editorial photograph black and white sitting beauty standing model photography monochrome photography photo shoot  body 
0,meet #clothing with @londonemyers in newcollection editorial. now available headgear fashion accessory cap cool beanie hat denim
0,"hey kids, let's go back to school | new editorial now available photograph facial expression black and white plaid photography sleeve smile boy monochrome photography  winterwear "
0,it's time to go back to school! the new editorial for kids is now available photograph facial expression black and white photography monochrome photography smile  body  photo shoot girl monochrome
0,the trench edit | several different ways to wear a trench. the punky look clothing fashion model  body  supermodel  bottoms   winterwear  waist model trousers abdomen
0,the trench edit | several different ways to wear a trench. the casual look. thank you @juliehoomans sitting fashion model  bottoms  denim shoe trousers
0,the trench edit | from the casual to the feminine chic look. several different ways to wear a trench. thank you @marjanjonkman gentleman fashion  winterwear  costume formal wear
1,september is coming | back to work.  days -to-friday keys forseasonseason 2017 #editorial #collection thank you @riannevanrompaey black photograph sitting black and white model beauty fashion model photo shoot  body  photography
0,join life man sustainable editorial #season | renewable energies or reusing resources like water can help us produce garments in an eco-efficient way #collection #collection #editorial photograph black and white monochrome photography headgear gentleman photography cap male fedora cool
0,join life man sustainable editorial #season | the combination of recycled materials and raw materials such us organic cotton or tencel� helps us to reduce our impact and take care of the environment #collection #collection #editorial gentleman  winterwear  eyewear fashion sleeve  formal  cool vision care album cover  formal 
0,join life man sustainable editorial #season | processes and materials that help us to take care of the environment #collection #collection #editorial thank you @frederikruegger fashion  formal   winterwear  shoe formal wear gentleman  winterwear  fashion design  bottoms  model
0,uclothingia | key trends forseasonseason 2017. woman editorial #editorial #collection thank you @selenaforrest clothing yellow  winterwear   winterwear  formal wear robe
0,uclothingia | key trends forseasonseason 2017. woman editorial #editorial #collection thank you @selenaforrest  winterwear   body  pattern long hair product pattern
0,uclothingia | key trends forseasonseason 2017. woman editorial #editorial #collection thank you @selenaforrest yellow fashion model  body  sleeve photo shoot  ?body  beige
1,"the new flamboyant | nomad, new woman editorial #collection #editorial purple fashion  winterwear  costume tradition socialite costume design formal wear fashion design pattern"
1,opulent textures in the new woman editorial | nomad is now available online and in-stores #collection #editorial fashion costume design pattern fashion design
1,good vibes only |  kids  girl capsule collection #collection photograph yellow human hair color photography standing child girl  winterwear  blond human behavior
1,cozy jumpsuit for funny afternoons |  kids  girl capsule collection #collection sitting sleeve child photography  winterwear  boy sweater toddler child model t shirt
1,it_s fun outside | new  kids  girl capsule collection #collection #editorial beauty human hair color girl smile  body  fashion accessory headgear  ?body   winterwear  cool
1,discover the newcollection editorial | mixed textures. thank you @michelle_gtk # collections  #editorial girl stock photography
0,let_s play with mixed texture | newcollection editorial # collections  thank you @manuela_sanchez__ girl portrait photo shoot brown hair model
1,find your seat and get ready for the movie to start. all eyes on the big screen! #collection red clothing  winterwear  girl  body  fashion textile product  winterwear  long hair
