image_id,post_caption,,#_comments,#_comments_norm,#_likes,#_likes_norm,engagement,binary,image_labels
0,"join life is about sustainability, about taking care of the planet.join us to learn more about join life at zara.com",,382,0.093788362,105600,0.298389376,0.175628768,1,musical instrument musical instrument accessory product design drum percussion accessory electronic instrument tom tom drum drums
2,this is #collection. garments produced using the best sustainable processes and raw materials. do you want to join us? check editorial online and in-stores,,132,0.032408544,54900,0.155128567,0.081496553,0,bag handbag leather shoe material jacket
3,"add a bit of sparkle to your night out | check total look at our party wear editorial, night out",,175,0.042965873,56000,0.15823679,0.08907424,0,clothing fashion model black and white blazer outerwear sleeve shoulder formal wear jacket model
4,night out | party season is coming. velvet and sequins are the perfect choice. check our new woman editorial for some inspiration,,228,0.055978394,65400,0.184797966,0.107506223,0,fashion model dress formal wear polka dot pattern design neck fashion day dress fashion design
5,shine bright with this metallic blazer clothing from our latest woman editorial | all you need for your nights out. thank you @graciehartzel,,570,0.139945986,106000,0.299519638,0.203775447,1,clothing fashion model black and white shoulder sleeve outerwear model fashion joint monochrome photography
6,from funk and disco to clothinged-up casual wear | this is a step to your new routine #zaracollection new editorial,,255,0.062607415,89900,0.254026561,0.139175073,1,fur clothing fur fashion model headgear fashion furcap textile coat beanie animal product
8,"this is my new routine, clothinged up casual wear | checkcollection new editorial #zaracollection",,138,0.03388166,64000,0.180842046,0.092665814,0,product interaction album cover girl pattern smile
9,"roll with it | volume, energy, attitude. a special collection for special nights.",,493,0.121041002,54800,0.154846002,0.134563002,1,eyewear black and white vision care sunglasses glasses monochrome photography cool gentleman monochrome health & beauty
11,"roll with it collection | an attitude that's real & undiluted, instantly recognizable and always individual. stepped up tempos and loud guitars mixed with the spirit of 70s cool #collection",,247,0.06064326,62900,0.177733823,0.107479486,0,formal wear suit blazer outerwear button tuxedo jacket sleeve collar neck
12,the hoodie sweater | new knit trends forseasonseason,,267,0.065553646,100800,0.284826222,0.153262676,1,fashion model coat black and white fashion shoulder overcoat outerwear joint gentleman neck
13,meet the fringedclothing | new editorial presenting knit trends #collection,,317,0.07782961,115200,0.325515682,0.176904039,1,fur shoulder long hair animal product
14,time for knit trends | the ribbed look: sweater + clothing. new editorial. thank you @andreeadiddy #collection,,143,0.035109256,69300,0.195818028,0.099392765,0,standing fashion model black and white shoulder joint outerwear coat pattern costume gentleman
15,comfy | girls editorial. simple and cozy. check knotclothing and ribbed leggings,,136,0.033390621,66100,0.186775925,0.094744743,0,clothing tartan sleeve shoulder pattern outerwear plaid design sweater arm
