ids, location, text
317441163,"Alabama, USA","RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem). CBS News/YouGov 10/2-10/5
My Analysis Post: https"
579188949,,"RT @colbertlateshow: On tonight's episode we're revisiting Texas Senate candidate @BetoORourke's chat with @StephenAtHome. PLUS, you get to"
5556352,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
9.75406E+17,"Phoenix, AZ","RT @JRubinBlogger: Press keeps saying Trump is helping in Senate. But since 2016 Ohio, Wis , Penn and W Va arent really competitive at all"
2725413623,dtx||atx,RT @bssymrgn: If yall let mf Ted Crusty win this Texas senate race Im personally beating each and everyone one of yalls asses
466519586,,"Texas Politics Project Dissects Polls, Explains Why Ted Cruz Will Win | The Daily Caller https://t.co/p8G0FWX5xX"
245552176,Hong Kong,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
3908662753,United States,@TexasLivein @Ray_Nolen @ProudRepublica4 @Mariatweets3 @JGalt09 You really cant be that naive or ignorant. Check o https://t.co/Cu5ZAzUVDe
3238891936,near Chicago,RT @WaydeDe: @Stephan40279183 @Trumpsters45 @mal1976retaf @Adorable_Todd @dianne1h @GiboneyDavid @vanderfk @MimiYvo @GenevieveLee19 @sbiv56
4533934940,,RT @bssymrgn: If yall let mf Ted Crusty win this Texas senate race Im personally beating each and everyone one of yalls asses
15102163,On the Flipside,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
7.62729E+17,"Los Angeles, CA","RT @colbertlateshow: On tonight's episode we're revisiting Texas Senate candidate @BetoORourke's chat with @StephenAtHome. PLUS, you get to"
8.39157E+17,"El Paso, TX","RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
3166107756,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
1.04475E+18,,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
323597894,the land of milk and honeydips,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
1899054092,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
37477872,"California, USA","RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
416119322,RGV | LBK,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
8.07007E+17,"San Benito, TX","RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
2439096672,"Texas, USA","RT @RonNehring: Cruz lead in Texas firm. Blackburn up in TN. Cramer up in ND. Democrats Senate narrative falling apart.  

World is run by"
2352593048,dallas,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
15991094,"Austin, Texas",RT @TexasTribune: Beto O'Rourke committed to serving out his six-year Senate term if elected. Ted Cruz? Not so much. https://t.co/igKeT2IeEz
7.36768E+17,"Texas, USA",RT @TexasTribune: Beto O'Rourke committed to serving out his six-year Senate term if elected. Ted Cruz? Not so much. https://t.co/igKeT2IeEz
1.01259E+18,"Texas, USA",RT @trscoop: WATCH: Ted Cruz talks to NBCs Lester Holt about his TIGHT Senate race in Texas  (AND MORE!) https://t.co/MCFcAdA7bJ https://
977419657,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
2270630270,"Texas, USA.","RT @TLRPAC: TLRPAC Endorses Angela Paxton for the Texas State Senate, District 8! @AngelaPaxtonTX https://t.co/U3sBRRBxcJ #txlege https://t"
8.64392E+17,"Southern, CA","RT @JRubinBlogger: Press keeps saying Trump is helping in Senate. But since 2016 Ohio, Wis , Penn and W Va arent really competitive at all"
1.01259E+18,"Texas, USA","RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
16553226,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
3145484464,Under a rock with wifi ,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
1100116086,Hong Kong,"RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
1.00228E+18,,"RT @Steffs_tweets: KEEP TEXAS RED
Vote @tedcruz for Senate!! 
#ChooseCruz https://t.co/Xi8fbu6gIY"
23098409,New England,"RT @aroseblush: TEXAS ~     Vote for 'BETO'  O'Rourke For US Senate 

      Immigration System Texans Can Trust
      Improving the Aff"
3259287158,,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
7.84633E+17,,"RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
1514883614,"31.7717 N, 35.2286 E","RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
7.84633E+17,,RT @trscoop: WATCH: Ted Cruz talks to NBCs Lester Holt about his TIGHT Senate race in Texas  (AND MORE!) https://t.co/MCFcAdA7bJ https://
45669053,"Des Moines, IA",RT @dawg_lb: Vote to re-elect Senator Ted Cruz Texas U.S. Senate 2018 keeping Texas 'RED' and @SenTedCruz continuing his hard and important
572806136,"Nice, France","RT @Smilynntodd: Houston, we have a problem. There may not be a venue large enough when Beto brings home a blue Senate seat for Texas! http"
564924125,"Toronto, Ontario",RT @charlesianbrown: peak charlie brown is snapchatting a girl from my hs who i havent talked to since december 2016 and asking if she's re
100643234,Living in hell with my Pug,"RT @colbertlateshow: On tonight's episode we're revisiting Texas Senate candidate @BetoORourke's chat with @StephenAtHome. PLUS, you get to"
8.05919E+17,"California, USA","RT @Smilynntodd: Houston, we have a problem. There may not be a venue large enough when Beto brings home a blue Senate seat for Texas! http"
8.22589E+17,"Tampa, FL","@MichaelAvenatti @CoryBooker He can't because he has rules to abide by in the Senate, remember when they kicked a f https://t.co/YRmrhDTX0I"
9.49364E+17,Earth,"RT @Fire_Ted_Cruz: Ted, did you ever think you might be responsible for your own unpopularity? Asking for a friend. #txsen #firetedcruz #te"
19492233,"San Jose, CA",Democrat Texas Rep. Beto ORourkes senate campaign was flagged by the Federal Election Commission (FEC) on Sunday https://t.co/PPAFmEzaRP
856817749,"Anytown, USA.",RT @ChrisObrienMA: Making calls and signing up volunteers. The thought of a #Democrat from #Texas in the #Senate is my #MondayMotivation. C
9.4657E+17,United States,"RT @colbertlateshow: On tonight's episode we're revisiting Texas Senate candidate @BetoORourke's chat with @StephenAtHome. PLUS, you get to"
48191842,Texas,RT @TexasTribune: Beto O'Rourke committed to serving out his six-year Senate term if elected. Ted Cruz? Not so much. https://t.co/igKeT2IeEz
860017376,"Seattle, WA","RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
280459733,Irish in London,RT @ChrisObrienMA: Making calls and signing up volunteers. The thought of a #Democrat from #Texas in the #Senate is my #MondayMotivation. C
3378940274, USA,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
82537931,"Los Angeles, CA","RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
18914244,,RT @ShandaT612: From Austin to Houston. Texas is turning up for positive change and that starts with electing @BetoORourke to Senate. Real
7.17538E+17,,"RT @Steffs_tweets: KEEP TEXAS RED
Vote @tedcruz for Senate!! 
#ChooseCruz https://t.co/Xi8fbu6gIY"
24658978,Texas,"RT @RonNehring: Cruz lead in Texas firm. Blackburn up in TN. Cramer up in ND. Democrats Senate narrative falling apart.  

World is run by"
751828440,,National Nurses United Endorses Beto ORourke in Texas U.S. Senate Race - https://t.co/DsJ6HiNnKU via @commondreams
7.18506E+17,New Jersey ,"RT @FaceTheNation: NEW POLL: Rep. Beto O'Rourke trails Sen. Ted Cruz by 6 points, in our new CBS News Battleground Tracker https://t.co/i0k"
7.0207E+17,"Tennessee, USA","RT @Steffs_tweets: KEEP TEXAS RED
Vote @tedcruz for Senate!! 
#ChooseCruz https://t.co/Xi8fbu6gIY"
8.4002E+17,,"RT @NBCNightlyNews: ""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC abo"
