dummy,binary,post_caption
dummy,1,"join life is about sustainability, about taking care of the planet.join us to learn more about join life at zara.com"
dummy,0,this is #collection. garments produced using the best sustainable processes and raw materials. do you want to join us? check editorial online and in-stores
dummy,0,"add a bit of sparkle to your night out | check total look at our party wear editorial, night out"
dummy,0,night out | party season is coming. velvet and sequins are the perfect choice. check our new woman editorial for some inspiration
dummy,1,shine bright with this metallic blazer clothing from our latest woman editorial | all you need for your nights out. thank you @graciehartzel
dummy,1,from funk and disco to clothinged-up casual wear | this is a step to your new routine #zaracollection new editorial
dummy,0,"this is my new routine, clothinged up casual wear | checkcollection new editorial #zaracollection"
dummy,1,"roll with it | volume, energy, attitude. a special collection for special nights."
dummy,0,"roll with it collection | an attitude that's real & undiluted, instantly recognizable and always individual. stepped up tempos and loud guitars mixed with the spirit of 70s cool #collection"
dummy,1,the hoodie sweater | new knit trends forseasonseason
dummy,1,meet the fringedclothing | new editorial presenting knit trends #collection
dummy,0,time for knit trends | the ribbed look: sweater + clothing. new editorial. thank you @andreeadiddy #collection
dummy,0,comfy | girls editorial. simple and cozy. check knotclothing and ribbed leggings
dummy,0,comfy | girls editorial. simple and cozy. check bow clothing & grey cardigan
dummy,1,comfy | girl editorial. simple and cozy garments. special collection.
dummy,1,midtown warm-up | new woman editorial now available. thank you @myrthebolt_
dummy,0,midtown warm-up | seasonal teddy-texture mixed with nostalgic floral print midi clothinges.
dummy,1,"mid-town warm up | a story inspired by a modern take on retro classics based on textures of shearlingclothings, teddy texture patterned tights & kitten heels. thank yoy @cara_taylorrr #collection"
dummy,0,this is #collection | palazzoclothing 8473/802
dummy,0,this is #collection | cashmere roll neck sweater 6873/176
dummy,1,"join life | natural farmingecologically grown cotton is farmed using natural fertilizers or pesticides. this process is water-friendly and reduces the co2 emissions, helping us to prevent the climate change."
dummy,1,"join life | organic cottonorganically or ecologically grown cotton is farmed in a way that respects the environment, biodiversity and the people who farm it."
dummy,1,"join life | baby girl sustainable collection.under the label #collection, we categorise all garments that have been produced using the best sustainable processes and raw materials"
dummy,1,lights galore |collection editorial. thank you @marjanjonkman
dummy,0,lights galore icollection editorial. thank you @marjanjonkman
dummy,1,a forest ride | kids editorial
dummy,1,a forest ride | editorial for kids
dummy,1,a forest ride | new editorial for kids
dummy,1,smooth textures | woman editorial. thank you @ediebcampbell
dummy,1,smooth textures | woman editorial. thank you @ediebcampbell
dummy,0,"a mix of wools, shape and proportion | man editorialseason tones. thank you @iohma"
dummy,0,contemporary classics inseasonal tones | man editorial. thank you @iohma
dummy,1,mini capsule collection
dummy,1,mini capsule collection
dummy,1,mini capsule collection
dummy,0,collection pufferclothing collection
dummy,1,the new puffers are here!
dummy,0,join the puffy trend! newcollection editorial
dummy,0,woman studio collection | coming soon #collection @kirindejonckheere @amandagooge
dummy,1,woman studio collection | coming soon #collection @kirindejonckheere
dummy,0,woman studio collection | coming soon #collection @lex.herl @amandagooge
dummy,0,this is #collection | red checkedclothing
dummy,1,trick or treat? the masks | new editorial for kids
dummy,1,in the mood of halloween? the masks | new editorial for kids
dummy,0,booo! the masks | new kids editorial
dummy,0,"dear india, discover & shop the weekly new-in now at zara.com. #dearindiathank you @urvashi_umrao photographed by @thebadlydrawnboy"
dummy,0,"dear india, shop the latestseason collection now online.#dearindiathank you @nsfwsaket & @nitigyasingh photographed by @thebadlydrawnboy"
dummy,0,"dear india, shop online is now available. thank you @urvashi_umrao photographed by @thebadlydrawnboy"
dummy,1,iconic blazers | the checkedclothing 8303/610
dummy,0,iconic blazers | contrasting faux fur blazer 4391/221
dummy,1,iconic blazers | pink wool blazer ref 8027/813 thank you @kdhwillems
dummy,1,pearly beret 3920/244
dummy,0,textured neckerchief with ribbon and faux pearls 0247/249
dummy,0,"good times | featuring prints, velvet and satin. special suits for special events. and party! thank you @brodiescottt"
dummy,0,"clothing up and let_s groove. good times, new editorial for man. thank you @oliverkumbi"
dummy,1,this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kid while they were wearing pajamas | life is better in pyjamas
dummy,1,is there anything better than a sleeping child? this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kids while they were wearing pyjamas.
dummy,1,life is better in pyjamas | this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kids while they were wearing pyjamas.
dummy,0,retro fiction | polished and sophisticated looks with standard patterns
dummy,0,next destination: the west | an approach to the classic mood of rodeo.collection
dummy,0,"go rodeo | thiscollection editorial is a mix of blouses and clothinges in plaids and florals, heavyclothing,clothing, wideclothing and midi clothings."
dummy,0,let_s rock the western trend | go rodeo! newcollection editorial. thank you @kirindejonckheere & @ansolet_rossouw
dummy,0,neutrals. style notes. updated outerwear | wear your classicclothing over yourclothingclothing. thank you @davidtrulik
dummy,0,"neutrals, style notes | combine your twill suitclothing with your suedeclothing for a cool and contemporary aesthetic. thank you @davidtrulik"
dummy,0,checkedclothings never get old | urban beats. new editorial
