ID,URL,labels
1,https://d2g8igdw686xgo.cloudfront.net/20909650_15182940200_r.jpeg,cityscape city metropolitan area metropolis landmark urban area night tourist attraction entertainment downtown
2,https://d2g8igdw686xgo.cloudfront.net/33560168_1540097733930313_r.jpg, ﻿face  human  ﻿face  color  ﻿face style long  ﻿face  blond wood girl  ﻿face  coloring black  ﻿face  brown  ﻿face 
3,https://d2g8igdw686xgo.cloudfront.net/18073130_1486513548.4208.jpg,photograph black and white monochrome photography monochrome alley window history street
4,https://d2g8igdw686xgo.cloudfront.net/27959428_1539891429312186_r.jpeg,property architecture facade real estate commercial building home house window elevation door
5,https://d2g8igdw686xgo.cloudfront.net/23514834_15043064370_r.jpg,home lighting hotel real estate night facade building mixed use landscape lighting
6,https://d2g8igdw686xgo.cloudfront.net/29983006_15266711320_r.jpeg,retail interior design convenience store liquor store display case
7,https://d2g8igdw686xgo.cloudfront.net/25918874_1512475137.031.jpg,sky sunset sunrise horizon sea morning evening sun dusk dawn
8,https://d2g8igdw686xgo.cloudfront.net/32583488_1536221575258730_r.jpg,drink font
9,https://d2g8igdw686xgo.cloudfront.net/17241010_1484040860.0972.jpg,vacation water tourism sea travel girl beach fun sky smile
10,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4547790_fb_1431554460.4671_funds.jpg,face  face   face   face   face   face   ﻿face style  face  gentleman official
11,https://d2g8igdw686xgo.cloudfront.net/29077792_15235281080_r.jpeg,text font product brand online advertising logo computer wallpaper
12,https://d2g8igdw686xgo.cloudfront.net/19820768_1492793042.9875.jpg,people senior citizen smile plant emotion tree vacation family fun friendship
13,https://d2g8igdw686xgo.cloudfront.net/24329378_1506894594.3596.jpg,architecture grass residential area urban design house line energy angle handrail sky
14,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/10594091_1460493796.1614.jpg, face  face eye eyelash  face   face  close up  face  iris eyelash extensions
15,https://d2g8igdw686xgo.cloudfront.net/27469552_15176768320_r.jpeg,people social group community family tree recreation house team
16,https://d2g8igdw686xgo.cloudfront.net/29490448_15249367520_r.jpeg,text font logo brand computer wallpaper graphics
17,https://d2g8igdw686xgo.cloudfront.net/19307920_1490919552.8553.jpg,person  face  moustache  face   ﻿face  senior citizen smile beard gentleman
18,https://d2g8igdw686xgo.cloudfront.net/20046468_1493598839.2605.jpeg,rock tree geological phenomenon tourism national park plant state park geology water recreation
19,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4084923_1428465000.6931.jpg, face  girl selfie
20,https://d2g8igdw686xgo.cloudfront.net/19887062_14957347760_r.jpg,person  face   ﻿face  event
21,https://d2g8igdw686xgo.cloudfront.net/15170417_1490284878.2326.jpg,shoulder blond girl smile neck pattern
22,https://d2g8igdw686xgo.cloudfront.net/33474688_1539150293849170_r.jpeg,social group suit formal wear team event ceremony tuxedo fun family
23,https://d2g8igdw686xgo.cloudfront.net/21874094_1498672241.404.jpg,loudspeaker sound technology audio flooring electronic device subwoofer audio equipment floor electronics
24,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1034256_1454549339.3341.jpg,fun human temple girl smile happiness tradition water ceremony
25,https://d2g8igdw686xgo.cloudfront.net/33415406_1538445343746759_r.jpeg,technology electronic device display device screen computer hardware multimedia personal computer electronics computer monitor gadget
26,https://d2g8igdw686xgo.cloudfront.net/28753842_15234898650_r.jpg,family friendship pattern fun
27,https://d2g8igdw686xgo.cloudfront.net/27848432_1519071122.5395.jpg,text pink font purple beauty violet magenta logo product brand
28,https://d2g8igdw686xgo.cloudfront.net/18643760_1488592925.1918.jpg,jewellery fashion accessory necklace chain pendant bling bling
29,https://d2g8igdw686xgo.cloudfront.net/31409440_1531868198754737_r.jpeg, ﻿face  face  face  glasses  face  vision  vehicle e  face   ﻿face style lip  face 
30,https://d2g8igdw686xgo.cloudfront.net/28320434_15207981030_r.jpeg,candle table lighting centrepiece decor christmas decoration interior design
31,https://d2g8igdw686xgo.cloudfront.net/31462578_1532025852971652_r.jpg,product hardware angle hardware accessory steel
32,https://d2g8igdw686xgo.cloudfront.net/29760646_15258767700_r.jpeg,glasses vision  vehicle e human behavior  face   ﻿face   glasses 
33,https://d2g8igdw686xgo.cloudfront.net/32036886_1533892249698748_r.jpeg,land vehicle bicycle motor vehicle vehicle road bicycle mode of transport transport plant bicycle accessory tree
34,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/2440947_fb_1414301571.1891_funds.jpg,pottery ceramic cup coffee cup flowerpot
35,https://d2g8igdw686xgo.cloudfront.net/15858139_1491327297.305.jpg,sky ecosystem grass smile summer sunlight happiness meadow plant vacation
36,https://d2g8igdw686xgo.cloudfront.net/29434722_15247469920_r.jpeg,crochet bag cobalt blue product handbag knitting woolen pattern electric blue
37,https://d2g8igdw686xgo.cloudfront.net/24722770_1508249294.8904.jpg,product smile student friendship girl  vehicle 
38,https://d2g8igdw686xgo.cloudfront.net/34233034_1542044775629237_r.jpeg,tree fun grass arm vacation recreation smile plant
39,https://d2g8igdw686xgo.cloudfront.net/29058076_1528727929637760_r.jpg, ﻿face  purple human  ﻿face  color pink  ﻿face style black  ﻿face  bangs  ﻿face  coloring long  ﻿face  girl
40,https://d2g8igdw686xgo.cloudfront.net/30449488_1530089672994241_r.jpg,sky text cloud water resources geological phenomenon atmosphere water wave ocean sea
41,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/7688611_1450377627.658.jpg,night fire darkness geological phenomenon smoke midnight evening explosion
42,https://d2g8igdw686xgo.cloudfront.net/19765426_1492616849.6338.jpg, ﻿face   face   ﻿face  beard face  face  man  face  moustache  face   face 
43,https://d2g8igdw686xgo.cloudfront.net/26955130_1515950226.5369.jpg,blue painting art modern art watercolor paint portrait paint picture frame artwork drawing
44,https://d2g8igdw686xgo.cloudfront.net/34880104_1543343152499103_r.jpeg,green text aqua font line grass pattern angle rectangle brand
45,https://d2g8igdw686xgo.cloudfront.net/23898544_1531835139123518_r.jpg,girl
46,https://d2g8igdw686xgo.cloudfront.net/33229010_1537819957532372_r.jpeg,condiment canning
47,https://d2g8igdw686xgo.cloudfront.net/30417492_15283006640_r.jpeg, face  interaction child girl  face gear cap kiss beanie product hug
48,https://d2g8igdw686xgo.cloudfront.net/12916887_1509393435.1529.jpg,glasses vision  vehicle e  glasses  cool girl sunglasses product
49,https://d2g8igdw686xgo.cloudfront.net/28250204_1537163007951611_r.jpeg,yellow orange text font product circle logo line wheel graphics
50,https://d2g8igdw686xgo.cloudfront.net/26636348_15148542560_r.jpg,wall town architecture house facade area advertising building sky window
51,https://d2g8igdw686xgo.cloudfront.net/33244626_1537873611932433_r.jpeg,fire mode of transport tree night lighting geological phenomenon evening campfire landscape grass
52,https://d2g8igdw686xgo.cloudfront.net/29336680_15245860900_r.jpg,event pub fire night
53,https://d2g8igdw686xgo.cloudfront.net/34843516_1543352615433437_r.jpeg,skin health  vehicle e service girl hospital clinic medical assistant
54,https://d2g8igdw686xgo.cloudfront.net/18119686_1486670235.5837.jpg,motor vehicle transport garage vehicle mode of transport luxury vehicle building parking  vehicle  automotive exterior
55,https://d2g8igdw686xgo.cloudfront.net/20856376_1496355307.193.jpg, ﻿face  face  face  human  ﻿face  color  ﻿face style blond  face   face   face  smile
56,https://d2g8igdw686xgo.cloudfront.net/29305874_15243432760_r.jpg,street sign text sky signage sign product advertising font line logo
57,https://d2g8igdw686xgo.cloudfront.net/34179622_1541154979974301_r.jpeg,blue text mammal vertebrate  vehicle toon smile font emotion human behavior organism
58,https://d2g8igdw686xgo.cloudfront.net/31428456_1531931406967959_r.jpeg,advertising window technology
59,https://d2g8igdw686xgo.cloudfront.net/30514048_1528671009156344_r.jpeg,mode of transport wood floor screenshot
60,https://d2g8igdw686xgo.cloudfront.net/17234058_1483676808.5514.jpg,food product cuisine cook advertising font banner product dish brand
61,https://d2g8igdw686xgo.cloudfront.net/17065528_1483039787.0236.jpg,distilled beverage bottle liqueur drink alcoholic beverage glass bottle beer bottle whisky beer
62,https://d2g8igdw686xgo.cloudfront.net/27525898_15215978290_r.jpg, ﻿face   face  human  ﻿face  color blond  face   ﻿face style  face   face  girl selfie
63,https://d2g8igdw686xgo.cloudfront.net/33908340_1540162831582801_r.jpeg,text font logo product brand graphics product
